,Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US),Imdb
182,Idle Hands,Rodman Flender,1999,10,3.0,No,6.2
183,In The Mouth Of Madness,John Carpenter,1994,10,3.0,No,7.2
184,Incarnate,Brad Peyton,2016,9,2.5,No,5.1
185,Inland Empire,David Lynch,2006,8,2.5,No,7.0
186,Inside,"Alexandre Bustillo, Julien Maury",2007,4,1.0,No,6.9
187,Insidious,James Wan,2010,24,5.0,No,6.8
188,Insidious: Chapter 2,James Wan,2013,22,4.0,No,6.6
189,Insidious: Chapter 3,Leigh Whannell,2015,15,4.0,No,6.1
190,Insidious: The Last Key,Adam Robitel,2018,15,4.0,No,5.8
191,Interview With the Vampire,Neil Jordan,1994,6,2.0,No,7.6
192,Intruders,Adam Schindler,2015,4,1.0,No,5.7
193,Invasion of the Body Snatchers,Philip Kaufman,1978,4,1.0,No,7.4
194,It,Andy Muschietti,2017,23,4.0,No,8.2
195,It Chapter Two,Andy Muschietti,2019,24,4.0,No,7.0
196,It Comes at Night,Trey Edward Shults,2017,5,1.5,No,6.8
197,It Follows,David Robert Mitchell,2014,5,2.0,No,6.9
198,Jacob's Ladder,Adrian Lyne,1990,4,1.0,No,7.5
199,Jaws,Steven Spielberg,1975,4,2.5,No,8.1
200,Jeepers Creepers,Victor Salva,2001,11,3.5,No,6.1
201,Jennifer's Body,Karyn Kusama,2009,6,2.0,No,5.1
202,Jessabelle,Kevin Greutert,2014,9,2.0,No,5.4
203,Jigsaw,"Michael Spierig, Peter Spierig",2017,7,2.0,No,6.3
204,Joy Ride,John Dahl,2001,2,0.5,No,6.6
205,Julia's Eyes,Guillem Morales,2010,7,2.0,No,6.6
206,Jurassic Park,Steven Spielberg,1993,9,2.5,No,8.1
207,Jurassic World,Colin Trevorrow,2015,5,2.0,No,7.0
208,Jurassic World: Fallen Kingdom,J.A. Bayona,2018,7,2.0,No,6.5
209,Kill List,Ben Wheatley,2011,1,0.5,No,6.3
210,Knock Knock,Eli Roth,2015,2,0.5,No,4.9
211,Krampus,Michael Dougherty,2015,10,2.0,No,6.2
212,Lake Mungo,Joel Anderson,2008,1,0.5,No,6.1
213,Lake Placid,Steve Miner,1999,11,2.5,No,5.6
214,Last Shift,Anthony DiBlasi,2014,17,4.0,No,5.7
215,Leatherface,"Alexandre Bustillo, Julien Maury",2017,13,3.0,No,5.2
216,Let Me In,Matt Reeves,2010,3,0.5,No,7.2
217,Let The Right One In,Tomas Alfredson,2008,2,0.5,No,8.0
218,Let Us Prey,Brian O’Malley,2014,7,3.0,No,5.6
219,Life,Daniel Espinosa,2017,8,2.0,No,6.8
220,Lights Out,David F. Sandberg,2016,19,4.5,No,6.4
221,Little Evil,Eli Craig,2017,7,1.5,Yes,5.8
222,Ma,Tate Taylor,2019,3,1.0,No,5.7
223,Maggie,Henry Hobson,2015,4,0.5,No,5.6
224,Malevolent,Olaf de Fleur Johannesson,2018,8,3.0,Yes,4.8
225,Malice,Harold Becker,1993,3,1.0,No,6.4
226,Mama,Andrés Muschietti,2013,13,3.5,No,6.2
227,Mandy,Panos Cosmatos,2018,5,1.5,No,6.9
228,Marrowbone,Sergio G. Sánchez,2017,5,2.5,No,6.6
